Place,Code,Country,Admin1,Admin2,Admin3,
187,Porfirio Díaz,51785,Mexico,México,Villa Guerrero,
,   18.929/-99.727,,,,,
188,Potrero de la Sierra,51786,Mexico,México,Villa Guerrero,
,   18.976/-99.745,,,,,
189,El Peñon,51786,Mexico,México,Villa Guerrero,
,   18.961/-99.729,,,,,
190,La Loma de la Concepción,51786,Mexico,México,Villa Guerrero,
,   18.954/-99.709,,,,,
191,Tequimilpa,51786,Mexico,México,Villa Guerrero,
,   18.946/-99.716,,,,,
192,San Gaspar,51786,Mexico,México,Villa Guerrero,
,   18.952/-99.701,,,,,
193,Santiago,51800,Mexico,México,Zacualpan,
,   18.727/-99.777,,,,,
194,San José,51800,Mexico,México,Zacualpan,
,   18.716/-99.783,,,,,
195,Zacualpan,51800,Mexico,México,Zacualpan,
,   18.719/-99.776,,,,,
196,Tlapexco,51800,Mexico,México,Zacualpan,
,   18.732/-99.775,,,,,
197,Huizoltepec,51810,Mexico,México,Zacualpan,
,   18.748/-99.799,,,,,
198,Ayotuxco,51813,Mexico,México,Zacualpan,
,   18.742/-99.803,,,,,
199,Coloxtitlán,51814,Mexico,México,Zacualpan,
,   18.7/-99.772,,,,,
200,San Juan,51814,Mexico,México,Zacualpan,
,   18.705/-99.779,,,,,
,,,,,,
